date,location,product,category,size,quantity,unit_price,revenue
2025-02-28,Downtown,Cappuccino,Coffee,Medium,44,4.75,209.00
2025-02-28,Downtown,Latte,Coffee,Large,50,5.50,275.00
2025-02-28,University,Chai Latte,Tea,Medium,22,4.75,104.50
2025-02-28,University,Muffin,Pastry,Regular,38,3.25,123.50
2025-02-28,Airport,Mocha,Coffee,Large,45,5.75,258.75
2025-02-28,Airport,Croissant,Pastry,Regular,35,4.00,140.00
2025-03-07,Downtown,Latte,Coffee,Large,55,5.50,302.50
2025-03-07,Downtown,Cold Brew,Coffee,Medium,35,4.50,157.50
2025-03-07,University,Drip Coffee,Coffee,Small,85,2.50,212.50
2025-03-07,University,Brownie,Pastry,Regular,30,3.50,105.00
2025-03-07,Airport,Latte,Coffee,Large,52,6.00,312.00
2025-03-07,Airport,Espresso,Coffee,Small,40,3.00,120.00
2025-03-14,Downtown,Americano,Coffee,Medium,48,3.50,168.00
2025-03-14,Downtown,Matcha Latte,Tea,Medium,25,5.25,131.25
2025-03-14,University,Mocha,Coffee,Large,40,5.75,230.00
2025-03-14,University,Scone,Pastry,Regular,20,3.50,70.00
2025-03-14,Airport,Cappuccino,Coffee,Medium,38,5.25,199.50
2025-03-14,Airport,Cookie,Pastry,Regular,42,2.75,115.50
2025-03-21,Downtown,Iced Latte,Coffee,Large,60,5.75,345.00
2025-03-21,Downtown,Croissant,Pastry,Regular,28,3.75,105.00
2025-03-21,University,Cold Brew,Coffee,Large,45,5.00,225.00
2025-03-21,University,Iced Tea,Tea,Large,35,4.00,140.00
2025-03-21,Airport,Latte,Coffee,Large,55,6.00,330.00
2025-03-21,Airport,Muffin,Pastry,Regular,30,3.50,105.00
2025-03-28,Downtown,Espresso,Coffee,Small,40,3.00,120.00
2025-03-28,Downtown,Latte,Coffee,Large,58,5.50,319.00
2025-03-28,University,Cappuccino,Coffee,Medium,42,4.75,199.50
2025-03-28,University,Red Velvet Cake,Pastry,Regular,18,4.50,81.00
2025-03-28,Airport,Americano,Coffee,Medium,35,4.00,140.00
2025-03-28,Airport,Hot Chocolate,Other,Medium,20,4.50,90.00
2025-04-04,Downtown,Cold Brew,Coffee,Large,65,5.00,325.00
2025-04-04,Downtown,Iced Latte,Coffee,Large,58,5.75,333.50
2025-04-04,University,Iced Tea,Tea,Large,50,4.00,200.00
2025-04-04,University,Latte,Coffee,Large,48,5.50,264.00
2025-04-04,Airport,Mocha,Coffee,Large,40,5.75,230.00
2025-04-04,Airport,Bagel,Pastry,Regular,35,3.25,113.75
2025-04-11,Downtown,Matcha Latte,Tea,Medium,35,5.25,183.75
2025-04-11,Downtown,Brownie,Pastry,Regular,25,3.50,87.50
2025-04-11,University,Cold Brew,Coffee,Large,55,5.00,275.00
2025-04-11,University,Drip Coffee,Coffee,Small,75,2.50,187.50
2025-04-11,Airport,Iced Latte,Coffee,Large,50,6.25,312.50
2025-04-11,Airport,Croissant,Pastry,Regular,38,4.00,152.00
2025-04-18,Downtown,Latte,Coffee,Large,52,5.50,286.00
2025-04-18,Downtown,Chai Latte,Tea,Medium,28,4.75,133.00
2025-04-18,University,Americano,Coffee,Medium,58,3.50,203.00
2025-04-18,University,Cookie,Pastry,Regular,45,2.75,123.75
2025-04-18,Airport,Cappuccino,Coffee,Medium,42,5.25,220.50
2025-04-18,Airport,Scone,Pastry,Regular,22,3.50,77.00
2025-04-25,Downtown,Mocha,Coffee,Large,45,5.75,258.75
2025-04-25,Downtown,Latte,Coffee,Large,60,5.50,330.00
2025-04-25,University,Cold Brew,Coffee,Large,62,5.00,310.00
2025-04-25,University,Muffin,Pastry,Regular,35,3.25,113.75
2025-04-25,Airport,Latte,Coffee,Large,55,6.00,330.00
2025-04-25,Airport,Espresso,Coffee,Small,38,3.00,114.00
